PALABRA_ORIGINAL,PALABRA_SUGERIDA,TIPO_ERROR
",SEGURIDAD",", SEGURIDAD",SIN_ERROR
",TRANSITO",", TRÁNSITO",FIX_MANUAL
-ATEC-,-ATEC-,SIN_ERROR
-AUNAR-,-AUNAR-,SIN_ERROR
-AUNAR-PASTO,-AUNAR-PASTO,SIN_ERROR
-BARRANQUILLA,-BARRANQUILLA,SIN_ERROR
-BOGOTÁ,-BOGOTÁ,SIN_ERROR
-BUCARAMANGA,-BUCARAMANGA,SIN_ERROR
-CALI,-CALI,SIN_ERROR
-CAPITÁN,-CAPITÁN,SIN_ERROR
-CARTAGENA,-CARTAGENA,SIN_ERROR
-CEDINPRO-,-CEDINPRO-,SIN_ERROR
-CEDINPRO-BOGOTÁ,-CEDINPRO-BOGOTÁ,SIN_ERROR
-CIDE-,-CIDE-,SIN_ERROR
-CIDE-BOGOTÁ,-CIDE-BOGOTÁ,SIN_ERROR
-CIENAGA,-CIÉNAGA,FIX_MANUAL
-CORSALUD-,-CORSALUD-,SIN_ERROR
-CORSALUD-BARRANQUILLA,-CORSALUD-BARRANQUILLA,SIN_ERROR
-CORUNIVERSITARIA-,-CORUNIVERSITARIA-,SIN_ERROR
-CORUNIVERSITEC-,-CORUNIVERSITEC-,SIN_ERROR
-ECONOMICA,-ECONÓMICA,FIX_MANUAL
-ESCOLME-,-ESCOLME-,SIN_ERROR
-ESPINAL,-ESPINAL,SIN_ERROR
-ESTADISTICA,-ESTADÍSTICA,FIX_MANUAL
-ETA-,-ETA-,SIN_ERROR
-F.C.E.C.E.P.,-F.C.E.C.E.P.,SIN_ERROR
-F.E.S.C.-,-F.E.S.C.-,SIN_ERROR
-F.E.S.C.-CUCUTA,-F.E.S.C.-CUCUTA,SIN_ERROR
-FESSANJOSE-,-FESSANJOSE-,SIN_ERROR
-FESSANJOSE-BOGOTÁ,-FESSANJOSE-BOGOTÁ,SIN_ERROR
-FET,-FET,SIN_ERROR
-FUAC-,-FUAC-,SIN_ERROR
-FUAC--BOGOTÁ,-FUAC-BOGOTÁ,FIX_MANUAL
-GEOTECNIA,-GEOTECNIA,SIN_ERROR
-IAFIC-,-IAFIC-,SIN_ERROR
"-INFANTIL,","-INFANTIL,",SIN_ERROR
-INGENIERIA,-INGENIERÍA,FIX_MANUAL
-INVESTIGACION,-INVESTIGACIÓN,FIX_MANUAL
-ITAE-,-ITAE-,SIN_ERROR
-IU.,-IU.,SIN_ERROR
-LA,-LA,SIN_ERROR
-MATEMATICAS,-MATEMÁTICAS,FIX_MANUAL
-MBA,-MBA,SIN_ERROR
-MBA-,-MBA-,SIN_ERROR
-MEDELLIN,-MEDELLÍN,FIX_MANUAL
-MEF-,-MEF-,SIN_ERROR
-MGIP-,-MGIP-,SIN_ERROR
-QUIBDO,-QUIBDÓ,FIX_MANUAL
-QUIMICA-,-QUÍMICA-,FIX_MANUAL
-RSE,-RSE,SIN_ERROR
-SALUD,-SALUD,SIN_ERROR
-SAN,-SAN,SIN_ERROR
-SISPI,-SISPI,SIN_ERROR
-UCO,-UCO,SIN_ERROR
-UNIAGRARIA-,-UNIAGRARIA-,SIN_ERROR
-UNIAGRARIA-BOGOTÁ,-UNIAGRARIA-BOGOTÁ,SIN_ERROR
-UNICAFAM,-UNICAFAM,SIN_ERROR
-UNICOC-BOGOTÁ,-UNICOC-BOGOTÁ,SIN_ERROR
-UNICORSALUD-,-UNICORSALUD-,SIN_ERROR
-UNILATINA-,-UNILATINA-,SIN_ERROR
-UNIMINUTO-,-UNIMINUTO-,SIN_ERROR
-UNIMINUTO-BELLO,-UNIMINUTO-BELLO,SIN_ERROR
